Blobs,Area,Diameter
91442,33.45495505,2.070672121
93062,31.58564183,2.062823401
90922,33.87223114,2.059120803
90549,34.21049377,2.063580539
88956,21.73431809,2.060835738
85485,20.66381236,2.039524651
122202,24.20697697,1.819925104
116197,24.16202656,1.854017918
123709,26.24087172,1.838013274
118419,26.49422812,1.829961583
91482,34.51975252,2.007721252
90717,35.86255057,2.011085105
95321,37.25007081,2.016936273
103986,38.30971477,1.850271712
100345,33.5397977,1.936770988
104192,33.30969748,1.853151538
129008,34.17691151,1.831823348
135254,26.47463291,1.813490634
124752,27.15246249,1.950480696
10847,91.63685812,2.896256247
11833,83.05510014,2.757844171
60351,2.267124105,2.267124105
61595,68.08201964,2.272934367
58732,76.55514881,1.976024967
63821,65.63852024,2.302638146
65524,60.73724132,2.294633992
66775,57.152617,2.26227219
68102,59.56766321,2.274967606
82438,48.37838133,2.152515251
82026,50.36315315,2.173109965
83880,47.95448259,2.139841863
83571,48.33981884,2.169584799
70658,57.01394039,2.216473131
83514,44.98667289,2.202831092
74600,48.98369973,2.139147794
94826,38.30033957,2.22996292
107279,33.54100989,2.014190538
103640,41.84390197,2.095804384
109169,32.49097271,2.012650046
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
